Source,Target,Type,Id,Label,Weight
161797,36000,Undirected,2178,,1
161797,521221,Undirected,2179,,1
272396,38365,Undirected,2180,,1
272396,476945,Undirected,2181,,1
272396,477105,Undirected,2182,,1
272396,513227,Undirected,2183,,1
215057,38365,Undirected,2184,,1
366610,55488,Undirected,2185,,1
366610,246481,Undirected,2186,,1
366610,377917,Undirected,2187,,1
366610,470072,Undirected,2188,,1
366610,483197,Undirected,2189,,1
366610,483741,Undirected,2190,,1
399385,38365,Undirected,2191,,1
399385,175102,Undirected,2192,,1
399385,431174,Undirected,2193,,1
399385,458358,Undirected,2194,,1
516125,24139,Undirected,2195,,1
516125,62917,Undirected,2196,,1
516125,175102,Undirected,2197,,1
516125,437385,Undirected,2198,,1
380964,223526,Undirected,2199,,1
380964,264950,Undirected,2200,,1
380964,372196,Undirected,2201,,1
380964,458358,Undirected,2202,,1
159787,170649,Undirected,2203,,1
159787,222939,Undirected,2204,,1
159787,441404,Undirected,2205,,1
22571,40504,Undirected,2206,,1
22571,123777,Undirected,2207,,1
22571,458358,Undirected,2208,,1
274481,84171,Undirected,2209,,1
274481,109245,Undirected,2210,,1
274481,316571,Undirected,2211,,1
274481,382281,Undirected,2212,,1
100402,87301,Undirected,2213,,1
100402,87937,Undirected,2214,,1
100402,364334,Undirected,2215,,1
100402,378954,Undirected,2216,,1
100402,399899,Undirected,2217,,1
100402,410827,Undirected,2218,,1
100402,462362,Undirected,2219,,1
30774,350949,Undirected,2220,,1
456759,38365,Undirected,2221,,1
456759,275815,Undirected,2222,,1
456759,458358,Undirected,2223,,1
321592,262533,Undirected,2224,,1
321592,354089,Undirected,2225,,1
321592,391705,Undirected,2226,,1
321592,391825,Undirected,2227,,1
321592,431149,Undirected,2228,,1
321592,463742,Undirected,2229,,1
112698,252127,Undirected,2230,,1
112698,458358,Undirected,2231,,1
344122,175102,Undirected,2232,,1
344122,256441,Undirected,2233,,1
344122,260593,Undirected,2234,,1
344122,320058,Undirected,2235,,1
344122,439894,Undirected,2236,,1
344122,458358,Undirected,2237,,1
256059,66665,Undirected,2238,,1
256059,458358,Undirected,2239,,1
256059,473222,Undirected,2240,,1
260157,38365,Undirected,2241,,1
319549,175102,Undirected,2242,,1
163906,40504,Undirected,2243,,1
163906,107652,Undirected,2244,,1
163906,123777,Undirected,2245,,1
163906,133084,Undirected,2246,,1
163906,225232,Undirected,2247,,1
163906,458358,Undirected,2248,,1
399429,38365,Undirected,2249,,1
399429,187308,Undirected,2250,,1
67654,458358,Undirected,2251,,1
378954,40745,Undirected,2252,,1
378954,87301,Undirected,2253,,1
378954,87937,Undirected,2254,,1
378954,106099,Undirected,2255,,1
378954,230494,Undirected,2256,,1
378954,233448,Undirected,2257,,1
378954,364334,Undirected,2258,,1
378954,399899,Undirected,2259,,1
378954,410827,Undirected,2260,,1
378954,462362,Undirected,2261,,1
378954,473053,Undirected,2262,,1
22603,128754,Undirected,2263,,1
22603,161455,Undirected,2264,,1
22603,224964,Undirected,2265,,1
22603,389855,Undirected,2266,,1
215114,1302,Undirected,2267,,1
215114,420956,Undirected,2268,,1
215114,458358,Undirected,2269,,1
272464,97672,Undirected,2270,,1
272464,128754,Undirected,2271,,1
272464,161455,Undirected,2272,,1
272464,224964,Undirected,2273,,1
331866,350949,Undirected,2274,,1
528474,38365,Undirected,2275,,1
528474,426630,Undirected,2276,,1
104540,38365,Undirected,2277,,1
104540,401782,Undirected,2278,,1
98398,37981,Undirected,2279,,1
98398,38365,Undirected,2280,,1
331872,175102,Undirected,2281,,1
331872,307000,Undirected,2282,,1
331872,372584,Undirected,2283,,1
331872,418742,Undirected,2284,,1
331872,420290,Undirected,2285,,1
331872,458358,Undirected,2286,,1
512097,83246,Undirected,2287,,1
512097,123573,Undirected,2288,,1
512097,332241,Undirected,2289,,1
512097,358149,Undirected,2290,,1
512097,399102,Undirected,2291,,1
141408,51350,Undirected,2292,,1
141408,422127,Undirected,2293,,1
141408,458358,Undirected,2294,,1
452705,113064,Undirected,2295,,1
452705,458358,Undirected,2296,,1
274532,458358,Undirected,2297,,1
487525,111624,Undirected,2298,,1
487525,447440,Undirected,2299,,1
487525,458358,Undirected,2300,,1
487525,498702,Undirected,2301,,1
413798,51350,Undirected,2302,,1
413798,392722,Undirected,2303,,1
413798,420839,Undirected,2304,,1
413798,458358,Undirected,2305,,1
155749,487915,Undirected,2306,,1
317552,35910,Undirected,2307,,1
317552,38365,Undirected,2308,,1
317552,175102,Undirected,2309,,1
317552,225404,Undirected,2310,,1
317552,239205,Undirected,2311,,1
317552,397980,Undirected,2312,,1
317552,458358,Undirected,2313,,1
61552,458358,Undirected,2314,,1
493683,458358,Undirected,2315,,1
381047,1302,Undirected,2316,,1
381047,120547,Undirected,2317,,1
381047,311544,Undirected,2318,,1
381047,363028,Undirected,2319,,1
381047,392722,Undirected,2320,,1
381047,413268,Undirected,2321,,1
381047,439376,Undirected,2322,,1
381047,458358,Undirected,2323,,1
381047,468322,Undirected,2324,,1
381047,478737,Undirected,2325,,1
381047,542515,Undirected,2326,,1
458873,138688,Undirected,2327,,1
225404,38365,Undirected,2328,,1
225404,454206,Undirected,2329,,1
120958,37981,Undirected,2330,,1
120958,410151,Undirected,2331,,1
120958,413268,Undirected,2332,,1
120958,457573,Undirected,2333,,1
120958,458358,Undirected,2334,,1
145536,489457,Undirected,2335,,1
356481,279493,Undirected,2336,,1
356481,458358,Undirected,2337,,1
395395,128754,Undirected,2338,,1
368772,48190,Undirected,2339,,1
368772,72813,Undirected,2340,,1
368772,73695,Undirected,2341,,1
368772,82677,Undirected,2342,,1
368772,382420,Undirected,2343,,1
368772,441577,Undirected,2344,,1
368772,521394,Undirected,2345,,1
71814,251046,Undirected,2346,,1
176262,38365,Undirected,2347,,1
176262,75913,Undirected,2348,,1
354439,112039,Undirected,2349,,1
354439,298562,Undirected,2350,,1
354439,458358,Undirected,2351,,1
57481,13325,Undirected,2352,,1
57481,88739,Undirected,2353,,1
57481,130687,Undirected,2354,,1
57481,218109,Undirected,2355,,1
57481,335795,Undirected,2356,,1
57481,397050,Undirected,2357,,1
57481,414755,Undirected,2358,,1
57481,487146,Undirected,2359,,1
139401,146598,Undirected,2360,,1
139401,458358,Undirected,2361,,1
473222,37981,Undirected,2362,,1
473222,66004,Undirected,2363,,1
473222,95447,Undirected,2364,,1
473222,278240,Undirected,2365,,1
473222,372456,Undirected,2366,,1
473222,386439,Undirected,2367,,1
473222,410151,Undirected,2368,,1
473222,449234,Undirected,2369,,1
473222,458358,Undirected,2370,,1
446604,222074,Undirected,2371,,1
